epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.857,3.18306,3.74042,3.17546,0.40322,0.2007,0.12742,0.0431,2.33984,2.76994,2.52486,0.0700171,0.00333144,0.00333144
2,706.779,2.16975,2.4543,2.22881,0.50361,0.32117,0.26178,0.11455,1.97788,2.12656,2.09472,0.0398851,0.00653281,0.00653281
3,1066.1,1.92733,2.11769,1.97416,0.38793,0.35338,0.33955,0.15745,1.85573,1.87481,1.96742,0.00962115,0.00960218,0.00960218
4,1416.67,1.82294,1.93411,1.86816,0.47333,0.40118,0.40693,0.19636,1.76976,1.71275,1.85798,0.009406,0.009406,0.009406
5,1769.42,1.74231,1.76235,1.78236,0.66869,0.45413,0.44753,0.23039,1.6728,1.52918,1.76162,0.009208,0.009208,0.009208
6,2069.5,1.69853,1.65661,1.74361,0.70443,0.46044,0.48063,0.25164,1.64023,1.45803,1.72595,0.00901,0.00901,0.00901
7,2365.18,1.66331,1.58052,1.70817,0.57502,0.48995,0.51152,0.27694,1.60902,1.36625,1.70639,0.008812,0.008812,0.008812
8,2663.09,1.64419,1.52674,1.68097,0.56235,0.50164,0.52763,0.28436,1.58973,1.29777,1.68306,0.008614,0.008614,0.008614
9,2963.71,1.61693,1.47681,1.65964,0.64317,0.51384,0.54535,0.30106,1.57459,1.22997,1.65364,0.008416,0.008416,0.008416
10,3256.19,1.60236,1.44921,1.65263,0.59024,0.51325,0.55132,0.30823,1.54536,1.21543,1.63237,0.008218,0.008218,0.008218
11,3557.41,1.57779,1.40863,1.62839,0.57619,0.5407,0.56691,0.31835,1.53998,1.18579,1.6172,0.00802,0.00802,0.00802
12,3856.55,1.57057,1.37644,1.61377,0.60253,0.51872,0.56355,0.32044,1.52928,1.15617,1.6071,0.007822,0.007822,0.007822
13,4160.96,1.56226,1.36907,1.61147,0.77681,0.53315,0.58541,0.33289,1.52784,1.12174,1.60308,0.007624,0.007624,0.007624
14,4483.6,1.54643,1.33592,1.59112,0.77284,0.53325,0.58961,0.33547,1.51263,1.09267,1.57976,0.007426,0.007426,0.007426
15,4780.68,1.5367,1.31408,1.58278,0.77993,0.55126,0.60547,0.34793,1.50066,1.07488,1.57955,0.007228,0.007228,0.007228
16,5074.81,1.52641,1.29779,1.5736,0.58483,0.5496,0.60312,0.34851,1.49174,1.05928,1.56699,0.00703,0.00703,0.00703
17,5373.36,1.52407,1.27852,1.56722,0.62706,0.55061,0.61319,0.35602,1.48461,1.03782,1.55621,0.006832,0.006832,0.006832
18,7063.65,1.5111,1.26509,1.56196,0.5848,0.55482,0.61774,0.36215,1.47574,1.02737,1.55064,0.006634,0.006634,0.006634
19,7370.09,1.50186,1.24674,1.54958,0.78396,0.56021,0.61847,0.36273,1.46716,1.0137,1.54223,0.006436,0.006436,0.006436
20,8449.03,1.49776,1.2272,1.54346,0.80004,0.55426,0.6221,0.36681,1.46573,1.00087,1.53408,0.006238,0.006238,0.006238
21,8772.93,1.49234,1.22226,1.53991,0.80734,0.55648,0.62988,0.37232,1.45686,0.991,1.52556,0.00604,0.00604,0.00604
22,9091.55,1.48765,1.21462,1.53425,0.60106,0.56491,0.63124,0.37239,1.45561,0.9823,1.52048,0.005842,0.005842,0.005842
23,9401.6,1.47935,1.2002,1.53129,0.63267,0.58302,0.6339,0.3747,1.45028,0.97207,1.5176,0.005644,0.005644,0.005644
24,9711.11,1.47586,1.19661,1.52261,0.62886,0.58917,0.63825,0.37922,1.44574,0.96455,1.51221,0.005446,0.005446,0.005446
25,10028.9,1.46463,1.17449,1.5143,0.631,0.57636,0.64048,0.382,1.44381,0.95494,1.50802,0.005248,0.005248,0.005248
26,10328.4,1.46015,1.16986,1.50669,0.71028,0.5845,0.64431,0.38394,1.43827,0.95168,1.50182,0.00505,0.00505,0.00505
27,10645.3,1.45599,1.15568,1.50501,0.6276,0.5834,0.6454,0.3854,1.43657,0.94472,1.50041,0.004852,0.004852,0.004852
28,10963.1,1.44686,1.13946,1.49986,0.63015,0.58606,0.64548,0.38681,1.43454,0.93909,1.49884,0.004654,0.004654,0.004654
29,11441.6,1.44652,1.14466,1.49793,0.62573,0.5946,0.64836,0.38872,1.42981,0.93422,1.4948,0.004456,0.004456,0.004456
30,11745.1,1.43312,1.1232,1.4881,0.6282,0.60367,0.65042,0.39063,1.42785,0.92938,1.49227,0.004258,0.004258,0.004258
31,13398.2,1.43556,1.12095,1.48617,0.62779,0.60758,0.65238,0.39189,1.4268,0.92399,1.49087,0.00406,0.00406,0.00406
32,13685.5,1.425,1.10046,1.47725,0.63194,0.602,0.65399,0.39352,1.42513,0.92012,1.48875,0.003862,0.003862,0.003862
33,13968.2,1.42075,1.10105,1.47441,0.62796,0.6161,0.6552,0.39502,1.42279,0.91634,1.48611,0.003664,0.003664,0.003664
34,14261.3,1.42073,1.09347,1.47351,0.63101,0.61958,0.6569,0.39642,1.4209,0.91366,1.48358,0.003466,0.003466,0.003466
35,14553.8,1.41414,1.08036,1.46571,0.63161,0.62171,0.65867,0.39734,1.41936,0.91068,1.4812,0.003268,0.003268,0.003268
36,14851.1,1.40368,1.07713,1.45594,0.61865,0.62299,0.65911,0.39818,1.41761,0.90853,1.47865,0.00307,0.00307,0.00307
37,15143.2,1.40067,1.06313,1.44992,0.61166,0.6289,0.66065,0.39882,1.41682,0.90612,1.4768,0.002872,0.002872,0.002872
38,15444.7,1.39972,1.06011,1.44967,0.6123,0.63015,0.66142,0.39969,1.41595,0.90363,1.47523,0.002674,0.002674,0.002674
39,15744.1,1.38789,1.04562,1.44706,0.61478,0.62953,0.6623,0.40028,1.41544,0.90127,1.47438,0.002476,0.002476,0.002476
40,16042.9,1.38545,1.04754,1.44122,0.6094,0.63159,0.66273,0.40097,1.4146,0.89903,1.47302,0.002278,0.002278,0.002278
41,16349.1,1.37007,0.94014,1.46065,0.61621,0.63029,0.66373,0.40193,1.41325,0.89622,1.47175,0.00208,0.00208,0.00208
42,16637.3,1.35823,0.92648,1.45225,0.62167,0.63367,0.66446,0.40276,1.41137,0.89383,1.47011,0.001882,0.001882,0.001882
43,16925.9,1.34919,0.91207,1.44457,0.62671,0.63418,0.66541,0.40353,1.40974,0.89143,1.46878,0.001684,0.001684,0.001684
44,17214.7,1.34176,0.90094,1.44196,0.63247,0.63399,0.66653,0.40457,1.40826,0.88921,1.4676,0.001486,0.001486,0.001486
